Name,Identity,Birth place,Publisher,Height,Weight,Gender,First appearance,Eye color,Hair color,Strength,Intelligence
Bumblebee,Karen Beecher,,DC Comics,170.48,59.46,F,,Brown,Black,30.0,good
Bullseye,Lester,,Marvel Comics,183.08,90.67,M,1976.0,blue,blond,15.0,average
Brainiac 5,Querl Dox,,DC Comics,170.91,61.94,M,,Green,Blond,10.0,high
Brundlefly,Seth Brundle,,,193.22,,M,1986.0,,,35.0,good
Brainiac,Vril Dox,,DC Comics,198.57,135.65,M,1958.0,Green,No Hair,95.0,high
Buffy,Buffy Anne Summers,,Dark Horse Comics,157.62,52.19,F,,Green,Blond,30.0,good
Box IV,Madison Jeffries,Place of birth unknown,Marvel Comics,,,,,Brown,Brown / Black,75.0,average
Bushido,Ryuko Orsono,,DC Comics,,,M,,,,10.0,moderate
Boomer,,,Marvel Comics,,,F,,,,,
Boom-Boom,Tabitha Smith,,Marvel Comics,165.39,55.37,F,,Blue,Blond,10.0,moderate
Bomb Queen,,,Image Comics,,,F,2006.0,,,75.0,good
Box,Roger Bochs,,Marvel Comics,,,M,,,,,
Boba Fett,,Kamino,George Lucas,183.09,,M,,Brown,Black,10.0,good
Brother Voodoo,Jericho Drumm,"Port-au-Prince, Haiti",Marvel Comics,183.73,99.79,M,1973.0,Brown,Brown / White,65.0,high
Blue Beetle III,Jaime Reyes,Presumed to be El Paso,DC Comics,,,M,2006.0,Brown,Black,35.0,average
Box III,Dr. Walter Langowski,British Columbia,Marvel Comics,193.28,110.99,,,Blue,Blond,,
Blue Beetle,,,DC Comics,,,M,,,,,
Blue Beetle,Daniel Garrett,,DC Comics,,,M,,Blue,Brown,,
Bloodwraith,Sean Dolan,,Marvel Comics,30.95,,M,1993.0,White,No Hair,75.0,average
Bloodaxe,Jackie Lukus,,Marvel Comics,218.07,495.33,F,,Blue,Brown,80.0,good
Blob,Frederick J. Dukes,"Lubbock, Texas ",Marvel Comics,178.58,230.51,M,1964.0,Brown,Brown,85.0,low
Blizzard II,Donald Gill,"Newark, Delaware",Marvel Comics,175.15,77.94,M,1987.0,Brown,Brown,10.0,moderate
Blizzard,Gregor Shapanka,,Marvel Comics,,,M,,,Brown,,
Blizzard,,,Marvel Comics,,,M,,,,,
Blue Beetle II,Theodore Kord,"Chicago, Illinois",DC Comics,183.85,86.89,M,1966.0,Blue,Brown,50.0,high
Blink,Clarice Ferguson,Bahamas,Marvel Comics,165.41,56.67,F,1994.0,Green,Magenta,10.0,average
Booster Gold,Michael Jon Carter,"Gotham City, 25th Century",DC Comics,196.01,97.97000000000001,M,,Blue,Blond,85.0,good
Blaquesmith,,,Marvel Comics,,,,,Black,No Hair,,
Bolt,,,Marvel Comics,,,M,,,,,
Bling!,Roxanne Washington ,,Marvel Comics,168.31,68.36,F,2005.0,,,15.0,good
Blackwulf,Lucian,Armechadon,Marvel Comics,188.17,88.64,M,1994.0,Red,White,30.0,average
Black Widow II,Yelena Belova,,Marvel Comics,170.25,61.85,F,,Blue,Blond,,
Blackout,,,Marvel Comics,191.2,104.09,M,1990.0,Red,White,35.0,good
Bloodhawk,Lemuel Krug,,Marvel Comics,,,M,2099.0,Black,No Hair,10.0,average
Blackwing,Joseph Manfredi,Professional Criminal,Marvel Comics,185.56,86.01,M,1975.0,Blue,Black,10.0,moderate
Black Mamba,Tanya Sealy,"Chicago, Illinois",Marvel Comics,170.17,52.62,F,,Green,Black,10.0,good
Black Lightning,Jefferson Pierce,,DC Comics,185.35,90.59,M,1977.0,Brown,No Hair,15.0,average
Black Widow,Natasha Romanoff,,Marvel Comics,170.79,59.34,F,,Green,Auburn,15.0,good
Black Goliath,,,Marvel Comics,,,M,,,,,
Black Cat,Felicia Hardy,"Queens, New York",Marvel Comics,178.87,54.64,F,1979.0,Green,Blond,20.0,good
Black Flash,,,DC Comics,,,M,,,,10.0,average
Black Canary,Laurel Lance,,DC Comics,170.2,59.96,F,,Blue,Blond,10.0,good
Black Bolt,Blackagar Boltagon,"Attilan, Atlantic Ocean ",Marvel Comics,188.98,95.8,M,1965.0,Blue,Black,70.0,good
Black Adam,Teth-Adam,"Kahndaq, Egypt",DC Comics,191.41,113.34,M,1945.0,Brown,Black,100.0,high
Black Canary,Dinah Drake Lance,,DC Comics,165.36,58.65,F,1947.0,Blue,Blond,10.0,good
Bizarro,Bizarro,,DC Comics,191.0,155.57,M,1958.0,Black,Black,95.0,moderate
Black Abbott,,,Marvel Comics,,,M,1984.0,Red,Black,,
Bishop,Lucas Bishop,A mutant relocation camp in an undisclosed location on an alternate 21st Century Earth,Marvel Comics,198.68,124.27,M,1991.0,Brown,No Hair,15.0,good
Birdman,Ray Randal,,Hanna-Barbera,,,M,1967.0,,,55.0,high
Bird-Man,Henry Hawk,,Marvel Comics,,,M,1965.0,,,,
Bird-Brain,,,Marvel Comics,,,,1987.0,,,10.0,moderate
Black Manta,David,,DC Comics,188.12,92.78,M,1967.0,Black,No Hair,30.0,good
Binary,Carol Danvers,"Boston, Massachusetts",Marvel Comics,180.34,54.36,F,,Blue,Blond,,
Billy Kincaid,Billy Kincaid,,Image Comics,,,M,1992.0,,,,
Bill Harken,,,SyFy,,,M,,,,40.0,good
Black Knight III,Dane Whitman,"Gloucester, Massachusetts ",Marvel Comics,183.5,86.98999999999998,M,1967.0,Brown,Brown,10.0,good
Big Daddy,Damon Macready,,Icon Comics,,,M,,,,10.0,moderate
Big Man,Frederick Foswell,,Marvel Comics,165.33,71.0,M,1964.0,Blue,Brown,15.0,good
Big Barda,Barda Free,,DC Comics,188.53,135.38,F,,Blue,Black,100.0,high
Bionic Woman,Jamie Sommers,,,,,F,,Blue,Black,40.0,average
Ben 10,Benjamin Kirby Tennyson,,DC Comics,,,M,,,,10.0,low
Beta Ray Bill,Beta Ray Bill (translation of his Korbinite name),Burning Galaxy,Marvel Comics,201.3,216.73,M,,,No Hair,80.0,good
Beetle,,,Marvel Comics,,,M,,,,,
Beast,Henry Philip McCoy,"Dunfee, Illinois",Marvel Comics,180.85,181.73,M,,Blue,Blue,50.0,high
Beast Boy,Garfield Mark Logan,,DC Comics,173.62,68.99,M,1965.0,Green,Green,30.0,average
Batwoman V,Katherine Rebecca Kane,,DC Comics,178.14,,F,2006.0,Green,Red,10.0,high
Batman II,Dick Grayson,,DC Comics,178.07,79.25,M,,Blue,Black,15.0,high
Batman,Terry McGinnis,"Gotham City, 25th Century",DC Comics,178.04,77.87999999999998,M,,Blue,Black,40.0,high
Battlestar,Lemar Hoskins ,"Chicago, Illinois ",Marvel Comics,198.54,133.04,M,1986.0,Brown,Black,55.0,average
Beyonder,,Created in the Beyond ,Marvel Comics,,,M,,,,100.0,high
Batgirl V,Charlotte Gage-Radcliffe,,DC Comics,,,F,,,,,
Batgirl III,Helena Rosa Bertinelli,,DC Comics,,,F,,,,,
Batman,Bruce Wayne,"Crest Hill, Bristol Township; Gotham County",DC Comics,188.97,95.22000000000001,M,,blue,black,20.0,high
Batgirl VI,Stephanie Brown,,DC Comics,168.29,61.82,F,2009.0,Blue,Blond,10.0,good
Batgirl,Barbara Gordon,,DC Comics,170.12,57.1,F,,Green,Red,15.0,high
Batgirl,Mary Elizabeth Kane,,DC Comics,,,F,,,,30.0,average
Bantam,Roberto Velasquez,,Marvel Comics,165.8,54.6,M,2006.0,Brown,Black,55.0,moderate
Banshee,Sean Cassidy,"Cassidy Keep, Ireland",Marvel Comics,183.74,77.26999999999998,M,1967.0,Green,Strawberry Blond,10.0,average
Black Panther,T'Challa,"Wakanda, Africa",Marvel Comics,183.03,90.5,M,1966.0,Brown,Black,20.0,high
Azrael,Michael Washington Lane,Gotham City ,DC Comics,,,M,2008.0,Brown,Black,20.0,good
Aztar,Aztar,,DC Comics,,,M,1940.0,,,100.0,high
Beak,Barnell Bohusk ,"Cheverly, Maryland ",Marvel Comics,175.3,63.09,M,,Black,White,,
Azazel,,"Isla des Demonas, Caribbean Sea",Marvel Comics,183.16,67.49,M,2003.0,Yellow,Black,15.0,average
Atom II,Ray Palmer,,DC Comics,183.43,81.34999999999998,M,,Brown,Auburn,10.0,high
Atom IV,Ryan Choi,,DC Comics,,72.06999999999998,M,,Brown,Black,,
Batgirl IV,Cassandra Cain,League of Assassins (exact base is unknown),DC Comics,165.32,52.56,F,,Green,Black,15.0,good
Atom,,,DC Comics,,,M,,,,,
Atom Girl,Salu Digby,,DC Comics,168.68,54.07,F,2004.0,Black,Black,10.0,moderate
Atlas,,Crystal Mountain,DC Comics,198.21,126.66,M,,Blue,Brown,100.0,good
Atom,Albert Pratt,,DC Comics,178.73,68.89,M,,Blue,Red,,
Arsenal,"Roy William Harper, Jr.",,DC Comics,,,M,,,,,
Atlas,Erik Josten,"Milwaukee, Wisconsin",Marvel Comics,183.09,101.66,M,,Brown,Red,80.0,good
Armor,Hisako Ichiki,,Marvel Comics,163.33,50.39,F,2004.0,Black,Black,65.0,average
Bane,,,DC Comics,203.22,180.48,M,1993.0,,,40.0,high
Ardina,Ardina,,Marvel Comics,193.98,98.68,F,,White,Orange,100.0,good
Arclight,Philippa Sontag,Vietnam,Marvel Comics,173.43,57.25,F,1986.0,Violet,Purple,65.0,moderate
Ares,,,Marvel Comics,185.28,270.3,M,,Brown,Brown,85.0,good
Astro Boy,Atom,,,,,M,,Brown,Black,95.0,average
Atom III,Adam Cray,,DC Comics,,,M,,,Red,,
Aqualad,Garth,"Poseidonis, Atlantis",DC Comics,178.89,106.83,M,1960.0,Blue,Black,45.0,good
Ariel,Ariel,,Marvel Comics,165.35,59.17,F,1987.0,Purple,Pink,10.0,average
Aquababy,"Arthur Curry, Jr.",,DC Comics,,,M,1965.0,Blue,Blond,20.0,low
Aquaman,Orin,Atlantis,DC Comics,185.71,146.96,M,1941.0,Blue,Blond,85.0,high
Apocalypse,En Sabah Nur,"Akkaba, Egypt ",Marvel Comics,213.77,135.62,M,1986.0,Red,Black,100.0,high
Anti-Monitor,,Moon of Qward,DC Comics,61.37,,M,,Yellow,No Hair,100.0,high
Ant-Man II,Scott Lang,"Coral Gables, Florida",Marvel Comics,183.67,86.28,M,1979.0,Blue,Blond,20.0,good
Anti-Venom,Eddie Brock,"San Francisco, California",Marvel Comics,229.46,358.05,M,,Blue,Blond,60.0,good
Anti-Spawn,Jason Wynn,,Image Comics,,,M,,,,60.0,good
Ammo,,,Marvel Comics,188.93,101.09,M,1988.0,Brown,Black,,
Arachne,Julia Carpenter,"Los Angeles, California",Marvel Comics,175.15,63.75,F,,Blue,Blond,50.0,average
Angel,Liam,,Dark Horse Comics,,,M,,,,30.0,good
Allan Quatermain,,,Wildstorm,,,M,,,,,
Alien,Xenomorph,Your chest :),Dark Horse Comics,244.3,169.66,M,1979.0,,No Hair,30.0,average
Alfred Pennyworth,Alfred Thaddeus Crane Pennyworth,,DC Comics,178.26,72.98,M,1943.0,Blue,Black,10.0,good
Ando Masahashi,Ando Masahashi,,NBC - Heroes,,,M,,,,,
Alex Woolsly,Alex Woolsly,,NBC - Heroes,,,M,,,,40.0,average
Alan Scott,Alan Ladd Wellington Scott,Gotham City,DC Comics,180.98,90.81,M,1940.0,Blue,Blond,80.0,good
Amazo,,,DC Comics,257.49,173.95,M,1960.0,Red,,100.0,good
Ant-Man,Hank Pym,"Elmsford, New York",Marvel Comics,211.74,122.44,M,1962.0,Blue,Blond,20.0,high
Ajax,Francis,,Marvel Comics,193.34,90.63,M,1998.0,Brown,Black,50.0,average
Alex Mercer,Alexander J. Mercer,,Wildstorm,,,M,,,,80.0,average
